# BITSTREAM WILL NO LONGER BE PROCESSED report for to 2/14/14
bitstream-id	process-start-date	process-end-date	checksum-expected	checksum-calculated	result	internal-id	item	collection	community	source
1	2014-14-14 11:14:52.044	2014-14-14 11:14:52.044	52c0b6faef02a4079059175e431fcf24	52c0b6faef02a4079059175e431fcf24		144630736004381672335661411041442560016				/Users/monikam/Installations/dspace/upload/DSpace-1.8.pdf
2	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	ae283e337459cd3987abe61b476da4f2	ae283e337459cd3987abe61b476da4f2		79417184189599360359179083750684791349				Written by org.dspace.content.LicenseUtils
3	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431				57983819466361535969091361619823068611				
4	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431				104119516629635534203002460640512889146				
5	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431				71614272155230470719304414075295926141				
6	2014-30-12 16:30:27.431	2014-30-12 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250		139956197122615952328439683690386617291				
7	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		136850060239312485472985714944768707970				
8	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		156556090249702995378295421355101783316				
9	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		93919724386823152678103008265090745066				
10	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		86147692869662421055512927554190759310				
11	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		92840321765816164836637958444763802640				
12	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		144159465381042778091752332320827662173				
13	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		164775863669661244324531597401354855270				
14	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		167621529745760287422074435340456162365				
15	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		102771047649889757327542572806192034724				
16	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		104522921708050602109956815736868717136				
17	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		82378963461950594127001358337379970580				
18	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		86817945931009416055365565243738532808				
19	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		87980227514800208833992562689557740437				
20	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		27414712546976959611867776616271746410				
21	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		98758452079816776122545446829080794576				
22	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		1734773516794609929457735606197950544				
23	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		103444247348943165045413463970957782252				
24	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		45272779054549495377835607910317766908				
25	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		38852539298922305171135069342124277840				
26	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		101224819581872192031305049053479714835				
27	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		30801053955212999904122392453744444727				
28	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		11531000984835002609843480647287908676				
29	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		57221142318680143547359196406863525324				
30	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		3477631314331483190537706954756119008				
31	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		127511131801227990949895595117664959383				
32	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		137726400932706995689044933047910862631				
33	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		8311841923064103198951890768421523779				
34	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		155176161211840271100754823564101250752				
35	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		90169350237444755848478334033984600344				
36	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		162561433798745430525439638272008392768				
37	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		33115800818888655408753734981850387643				
38	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		30611509596774314037058816309210163702				
39	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		72590110554905220064805235298634335046				
40	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		16210383554132565773506446465966256014				
41	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		30011386497767866367801182005208774647				
42	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		105407302729724006437745839484510741328				
43	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		113182402445747128608026456205433929316				
44	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		136401400386667444841509542848504344371				
45	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		56967933482320267028423263958152983697				
46	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		78292532448227648946711375458841171070				
47	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		45647758682229466193859337562592889638				
48	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		126715434245154722285668228453519088923				
49	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		14142108600318160750646448162727843523				
50	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		30638380528369841268776550093925399872				
51	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		49874884507021512027132562184079012859				
52	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		107259997923450790777958183737838016191				
53	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		122867351156810544595599433662266753269				
54	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		28911131019529000684557264754808939458				
55	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		94652471083448139143422307995906844214				
56	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		77487156931166879486886786763574387136				
57	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		153301413496269458672196507162209713172				
58	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		167213527518435941989337807159319351933				
59	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		86596396085146641736474065795134857503				
60	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		76988069930632742875861378609054229553				
61	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		97599828286405937421411777710335214613				
62	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		126491670656749889905348779270184177106				
63	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		44160384116608034139340428248313247643				
64	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		168938771875036643802885148551743619306				
65	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		106705027144786841245057616485753933479				
66	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		90639062809524030475945893859517528668				
67	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		13253542735338204298432482983225940841				
68	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		84863695713817372071629035085513217128				
69	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		101260759823676832337148881720044813179				
70	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		64410149001743592131566160702401766047				
71	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		11349168796065984908015969765629957494				
72	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		31842464931017182643450760827438076985				
73	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		151541870207834072527275132714621789015				
74	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		20830028765834364026473483604780786959				
75	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		63496560819928636110032937565288155089				
76	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		147722688242623856106353706471426754944				
77	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		28316235101320752374081357563937261446				
78	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		104304403763677313715566253045203219097				
79	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		107302061717014522749403873149048912507				
80	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		127857579742121160959033441041050652749				
81	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		60922913716132222518396033809783591655				
82	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		154344985583587996615424388252703778201				
83	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		60707066120314076412070340830038023398				
84	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		157376193082693279348961220089477414040				
85	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		124884638128406229099039674955983560259				
