Dryad Digital Repository

Database:,PubMed
Total:,66

Month,Number of Hits  
12/2012,66

By Journal (for the most recent two months):,

Month:,December 2012,Total number of hits:,66

Journal Medline Abbreviation(ISSN),Number of Hits
Am J Bot (0002-9122),1
Am Nat (0003-0147),9
Biol Lett (1744-9561),3
Evolution (0014-3820),2
Heredity (Edinb) (0018-067X),2
J Anat (0021-8782),27
J Evol Biol (1010-061X),5
Mol Ecol (0962-1083),2
Mol Ecol Resour (1755-098X),2
Mycologia (0027-5514),1
PLoS One (1932-6203),2
Science (0036-8075),1
Syst Biol (1063-5157),8
Zookeys (1313-2989),1

Month:,November 2012,Total number of hits:,0

Journal Medline Abbreviation(ISSN),Number of Hits



Database:,NucCore
Total:,13

Month,Number of Hits  
12/2012,13


Database:,Protein
Total:,1

Month,Number of Hits  
12/2012,1


Database:,Taxonomy
Total:,6

Month,Number of Hits  
12/2012,6


